Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-27 00:00:00+05:30,482.32171369974606,482.32171369974606,439.7923441550791,460.91204833984375,91036634,0.0,0.0
2018-03-28 00:00:00+05:30,448.3465912651314,462.8935582518119,447.52499520163855,453.3727722167969,12056881,0.0,0.0
2018-04-02 00:00:00+05:30,459.0272276028695,468.78965729344435,456.2241613247541,459.8005065917969,5239378,0.0,0.0
2018-04-03 00:00:00+05:30,458.1573126352049,469.65956838201635,453.4694101823546,467.2914733886719,2796977,0.0,0.0
2018-04-04 00:00:00+05:30,468.403046996187,472.46265119736364,462.0236352542487,469.8045654296875,2459030,0.0,0.0
2018-04-05 00:00:00+05:30,473.62256349328214,497.69034593008536,471.0127947117366,492.18084716796875,8163440,0.0,0.0
2018-04-06 00:00:00+05:30,495.3705239284232,500.3967342141428,488.3145263134495,491.2625732421875,1844654,0.0,0.0
2018-04-09 00:00:00+05:30,491.7941894044924,502.52322565331446,479.470337074805,497.25537109375,2656272,0.0,0.0
2018-04-10 00:00:00+05:30,497.7869740756231,503.3931068389968,493.1474179609399,501.31500244140625,1731872,0.0,0.0
2018-04-11 00:00:00+05:30,502.52328084128527,517.1185663110649,495.85387760294634,515.668701171875,3555719,0.0,0.0
2018-04-12 00:00:00+05:30,512.2856527491672,522.7246693457786,508.51598000823196,516.8768920898438,1884412,0.0,0.0
2018-04-13 00:00:00+05:30,515.1854203280254,519.0034103827726,508.8060372203408,510.9808349609375,1057977,0.0,0.0
2018-04-16 00:00:00+05:30,506.38953731562066,514.5570629213906,498.85019214851354,501.4599609375,760439,0.0,0.0
2018-04-17 00:00:00+05:30,502.61981955658945,503.97305036114886,483.2882880351821,488.21783447265625,1156139,0.0,0.0
2018-04-18 00:00:00+05:30,491.02088615445035,496.33705716596506,484.25485032161345,487.299560546875,815508,0.0,0.0
2018-04-19 00:00:00+05:30,488.3144980297785,491.8908136626932,485.22144118732285,488.21783447265625,589106,0.0,0.0
2018-04-20 00:00:00+05:30,488.2178665891876,493.4373745438083,476.61894691332924,478.5037536621094,949874,0.0,0.0
2018-04-23 00:00:00+05:30,479.4219596614389,487.44453307448543,465.64824408648826,481.69342041015625,2474228,0.0,0.0
2018-04-24 00:00:00+05:30,483.2882853557056,485.51139966931146,469.75621336574585,473.4775390625,1200876,0.0,0.0
