Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-12 00:00:00+05:30,19.259372639825852,25.359117290633232,18.779301141617275,22.224525451660156,29545784,0.0,0.0
2004-04-13 00:00:00+05:30,22.337487149296603,22.535165323241507,21.46206139184638,21.998613357543945,8867156,0.0,0.0
2004-04-14 00:00:00+05:30,21.998613357543945,21.998613357543945,21.998613357543945,21.998613357543945,0,0.0,0.0
2004-04-15 00:00:00+05:30,22.168040997304473,22.874029564097608,21.631489255640464,22.3657169342041,7829737,0.0,0.0
2004-04-16 00:00:00+05:30,22.563403257687423,23.015235674381255,22.16804908514023,22.591642379760742,4824450,0.0,0.0
2004-04-19 00:00:00+05:30,24.85080173310474,26.036861863109415,24.37073028869963,24.653125762939453,8794742,0.0,0.0
2004-04-20 00:00:00+05:30,24.737842468739146,24.963759704054418,23.692980103045493,23.805938720703125,4164111,0.0,0.0
2004-04-21 00:00:00+05:30,23.947134590345616,24.342486489617496,23.580019650157425,24.1165714263916,3297844,0.0,0.0
2004-04-22 00:00:00+05:30,24.229530606327813,24.56840428640676,24.0318524975265,24.286008834838867,2710516,0.0,0.0
2004-04-23 00:00:00+05:30,24.45544567487834,25.10495607528702,24.116571994799394,24.286008834838867,3070654,0.0,0.0
2004-04-27 00:00:00+05:30,23.15643121967895,23.692983105670415,21.546777716211267,21.857412338256836,2625967,0.0,0.0
2004-04-28 00:00:00+05:30,21.913890293698714,22.30924442323974,21.46205792615469,22.05508804321289,2487899,0.0,0.0
2004-04-29 00:00:00+05:30,22.026847849518628,23.071710283141883,21.74445236426839,22.337482452392578,1837376,0.0,0.0
2004-04-30 00:00:00+05:30,22.309243603300715,22.535160856022856,21.687974390074725,21.829172134399414,1099314,0.0,0.0
2004-05-03 00:00:00+05:30,21.744452842259168,21.91388970623259,20.13479940275172,20.5301513671875,1842948,0.0,0.0
2004-05-04 00:00:00+05:30,19.76768469740213,21.885650914980932,19.76768469740213,21.68797492980957,1503402,0.0,0.0
2004-05-05 00:00:00+05:30,21.913885145052326,22.42219778567846,21.54677237527227,21.970365524291992,1540343,0.0,0.0
2004-05-06 00:00:00+05:30,22.42219764672685,22.930508129696786,22.252760819070204,22.53515625,2496275,0.0,0.0
2004-05-07 00:00:00+05:30,22.591635205957154,22.648113432169556,21.942124831983396,22.139802932739258,1480690,0.0,0.0
2004-05-10 00:00:00+05:30,21.88565037032665,21.970369878724103,20.953744395981072,21.829172134399414,1169237,0.0,0.0
2004-05-11 00:00:00+05:30,20.897269120743786,21.462060178061186,20.332478063426386,20.869029998779297,1066803,0.0,0.0
2004-05-12 00:00:00+05:30,20.897268819880935,21.29262298521249,20.473675532991457,21.06670570373535,1270280,0.0,0.0
2004-05-13 00:00:00+05:30,20.388955753674324,21.462059595239012,19.061697666824124,20.953746795654297,1752102,0.0,0.0
2004-05-14 00:00:00+05:30,21.123180772264053,21.123180772264053,18.07330901429863,18.4404239654541,2290834,0.0,0.0
