Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-11 09:15:00+05:30,1000.5999755859375,1002.2999877929688,999.5999755859375,1001.5,81855,0.0,0.0
2025-07-11 09:30:00+05:30,1001.5999755859375,1001.7999877929688,1000.25,1000.2999877929688,91771,0.0,0.0
2025-07-11 09:45:00+05:30,1000.3499755859375,1000.3499755859375,998.0499877929688,998.5,181521,0.0,0.0
2025-07-11 10:00:00+05:30,998.5,998.5,997.0,997.2000122070312,89867,0.0,0.0
2025-07-11 10:15:00+05:30,997.3499755859375,997.9500122070312,996.75,996.9500122070312,86225,0.0,0.0
2025-07-11 10:30:00+05:30,996.9500122070312,997.2000122070312,996.0999755859375,996.6500244140625,56287,0.0,0.0
2025-07-11 10:45:00+05:30,996.5,996.5,995.0,995.2000122070312,93552,0.0,0.0
2025-07-11 11:00:00+05:30,995.5999755859375,997.2999877929688,994.7000122070312,995.4000244140625,231327,0.0,0.0
2025-07-11 11:15:00+05:30,995.1500244140625,995.5,994.1500244140625,995.0,252898,0.0,0.0
2025-07-11 11:30:00+05:30,995.0,996.5,994.5,994.7999877929688,230460,0.0,0.0
2025-07-11 11:45:00+05:30,994.7000122070312,995.0,993.4000244140625,993.5,148551,0.0,0.0
2025-07-11 12:00:00+05:30,993.5999755859375,993.75,992.5499877929688,993.1500244140625,193787,0.0,0.0
2025-07-11 12:15:00+05:30,993.2000122070312,993.7000122070312,992.3499755859375,993.2999877929688,300892,0.0,0.0
2025-07-11 12:30:00+05:30,993.25,994.9000244140625,992.7999877929688,993.5,457494,0.0,0.0
2025-07-11 12:45:00+05:30,993.5499877929688,994.2999877929688,993.0,993.4000244140625,287782,0.0,0.0
2025-07-11 13:00:00+05:30,993.4500122070312,993.5,991.9000244140625,992.4000244140625,165822,0.0,0.0
2025-07-11 13:15:00+05:30,992.4000244140625,992.5499877929688,991.5,991.5499877929688,128425,0.0,0.0
2025-07-11 13:30:00+05:30,991.5499877929688,992.0499877929688,991.0499877929688,991.7999877929688,238807,0.0,0.0
2025-07-11 13:45:00+05:30,991.7999877929688,993.5,991.5,993.2999877929688,113130,0.0,0.0
2025-07-11 14:00:00+05:30,993.2000122070312,994.1500244140625,992.0499877929688,993.1500244140625,273926,0.0,0.0
2025-07-11 14:15:00+05:30,993.2000122070312,993.7999877929688,992.4500122070312,993.0999755859375,108083,0.0,0.0
2025-07-11 14:30:00+05:30,992.75,993.4500122070312,992.0,992.0,162057,0.0,0.0
2025-07-11 14:45:00+05:30,992.0,992.75,991.2999877929688,992.2999877929688,229163,0.0,0.0
2025-07-11 15:00:00+05:30,992.25,992.8499755859375,991.25,991.4000244140625,849119,0.0,0.0
2025-07-11 15:15:00+05:30,991.3499755859375,992.4500122070312,991.0,991.4500122070312,990357,0.0,0.0
2025-07-14 09:15:00+05:30,991.8499755859375,994.3499755859375,988.2000122070312,989.6500244140625,161688,0.0,0.0
2025-07-14 09:30:00+05:30,989.5999755859375,989.5999755859375,986.75,987.5,179207,0.0,0.0
2025-07-14 09:45:00+05:30,987.6500244140625,990.3499755859375,987.0999755859375,990.0,75933,0.0,0.0
2025-07-14 10:00:00+05:30,990.0,990.0,988.2000122070312,989.0999755859375,78060,0.0,0.0
2025-07-14 10:15:00+05:30,989.25,990.0,988.9000244140625,989.0499877929688,58179,0.0,0.0
2025-07-14 10:30:00+05:30,989.0,989.0499877929688,987.0499877929688,987.2000122070312,205637,0.0,0.0
2025-07-14 10:45:00+05:30,987.4500122070312,987.5,986.4500122070312,987.0499877929688,239280,0.0,0.0
2025-07-14 11:00:00+05:30,987.0999755859375,987.1500244140625,985.2999877929688,985.8499755859375,114056,0.0,0.0
2025-07-14 11:15:00+05:30,985.75,987.4000244140625,985.6500244140625,987.0,145908,0.0,0.0
2025-07-14 11:30:00+05:30,987.0,987.8499755859375,986.9000244140625,987.6500244140625,117254,0.0,0.0
2025-07-14 11:45:00+05:30,987.6500244140625,988.25,987.2999877929688,987.4500122070312,84908,0.0,0.0
2025-07-14 12:00:00+05:30,987.4500122070312,987.9000244140625,987.25,987.5,107728,0.0,0.0
2025-07-14 12:15:00+05:30,987.5,988.5,987.5,987.5999755859375,61891,0.0,0.0
2025-07-14 12:30:00+05:30,987.5999755859375,988.75,987.5,988.7000122070312,126863,0.0,0.0
2025-07-14 12:45:00+05:30,988.4000244140625,988.7999877929688,987.0,987.75,161935,0.0,0.0
2025-07-14 13:00:00+05:30,987.6500244140625,988.2000122070312,986.4000244140625,986.7000122070312,182558,0.0,0.0
2025-07-14 13:15:00+05:30,986.7000122070312,987.75,986.5499877929688,987.2000122070312,129536,0.0,0.0
2025-07-14 13:30:00+05:30,987.3499755859375,988.5,987.0,988.1500244140625,237976,0.0,0.0
2025-07-14 13:45:00+05:30,988.1500244140625,988.2000122070312,986.9500122070312,987.5499877929688,326364,0.0,0.0
2025-07-14 14:00:00+05:30,987.5499877929688,988.25,987.0,988.25,169705,0.0,0.0
2025-07-14 14:15:00+05:30,988.0,988.5,987.6500244140625,988.2999877929688,212222,0.0,0.0
2025-07-14 14:30:00+05:30,988.25,988.4000244140625,987.2000122070312,988.0,266937,0.0,0.0
2025-07-14 14:45:00+05:30,988.0,992.5499877929688,987.6500244140625,992.5,396343,0.0,0.0
2025-07-14 15:00:00+05:30,992.5,992.5999755859375,990.1500244140625,991.4500122070312,1350467,0.0,0.0
2025-07-14 15:15:00+05:30,991.4500122070312,992.9000244140625,990.25,990.25,1194265,0.0,0.0
2025-07-15 09:15:00+05:30,988.8499755859375,993.5499877929688,988.2000122070312,991.7999877929688,236930,0.0,0.0
2025-07-15 09:30:00+05:30,991.7999877929688,993.2000122070312,990.5999755859375,992.4000244140625,197013,0.0,0.0
2025-07-15 09:45:00+05:30,992.0499877929688,994.5499877929688,992.0,992.2000122070312,193724,0.0,0.0
2025-07-15 10:00:00+05:30,992.2000122070312,994.1500244140625,992.2000122070312,993.6500244140625,130226,0.0,0.0
2025-07-15 10:15:00+05:30,993.6500244140625,995.25,993.5999755859375,995.0999755859375,281571,0.0,0.0
2025-07-15 10:30:00+05:30,995.1500244140625,996.6500244140625,995.1500244140625,995.7000122070312,259471,0.0,0.0
2025-07-15 10:45:00+05:30,995.8499755859375,997.2000122070312,995.2999877929688,996.7000122070312,209867,0.0,0.0
2025-07-15 11:00:00+05:30,996.7000122070312,999.2000122070312,996.5499877929688,998.0,229364,0.0,0.0
2025-07-15 11:15:00+05:30,998.0,999.25,997.75,998.5999755859375,167689,0.0,0.0
2025-07-15 11:30:00+05:30,998.5999755859375,999.9500122070312,998.0999755859375,999.1500244140625,205375,0.0,0.0
2025-07-15 11:45:00+05:30,999.0,999.5,997.4500122070312,997.7000122070312,161974,0.0,0.0
2025-07-15 12:00:00+05:30,997.6500244140625,998.8499755859375,997.2999877929688,997.75,96411,0.0,0.0
2025-07-15 12:15:00+05:30,997.9000244140625,998.4500122070312,996.5499877929688,998.4500122070312,162926,0.0,0.0
2025-07-15 12:30:00+05:30,998.4500122070312,999.9500122070312,998.3499755859375,999.75,138329,0.0,0.0
2025-07-15 12:45:00+05:30,999.7999877929688,1001.0,999.75,1000.25,148677,0.0,0.0
2025-07-15 13:00:00+05:30,1000.2999877929688,1000.8499755859375,999.9500122070312,1000.6500244140625,110304,0.0,0.0
2025-07-15 13:15:00+05:30,1000.5999755859375,1001.6500244140625,1000.3499755859375,1001.0,160741,0.0,0.0
2025-07-15 13:30:00+05:30,1000.8499755859375,1001.1500244140625,999.8499755859375,1000.7999877929688,206593,0.0,0.0
2025-07-15 13:45:00+05:30,1001.0,1001.5,1000.75,1000.8499755859375,131301,0.0,0.0
2025-07-15 14:00:00+05:30,1000.8499755859375,1001.0,999.0999755859375,1000.75,176208,0.0,0.0
2025-07-15 14:15:00+05:30,1000.7999877929688,1001.0999755859375,1000.2999877929688,1000.4000244140625,162908,0.0,0.0
2025-07-15 14:30:00+05:30,1000.5,1001.4000244140625,999.1500244140625,999.7000122070312,320754,0.0,0.0
2025-07-15 14:45:00+05:30,999.6500244140625,999.75,997.8499755859375,998.0999755859375,330732,0.0,0.0
2025-07-15 15:00:00+05:30,998.3499755859375,998.7000122070312,996.5,998.5999755859375,1066795,0.0,0.0
2025-07-15 15:15:00+05:30,998.5499877929688,999.5,997.1500244140625,998.6500244140625,855170,0.0,0.0
2025-07-16 09:15:00+05:30,1008.2000122070312,1010.4500122070312,1001.75,1002.5999755859375,580056,0.0,0.0
2025-07-16 09:30:00+05:30,1002.5,1004.9500122070312,1001.0499877929688,1004.3499755859375,561220,0.0,0.0
2025-07-16 09:45:00+05:30,1004.4500122070312,1004.75,1003.0,1003.25,304980,0.0,0.0
2025-07-16 10:00:00+05:30,1003.25,1004.0499877929688,1002.5999755859375,1003.5,205009,0.0,0.0
2025-07-16 10:15:00+05:30,1003.5999755859375,1006.7000122070312,1003.25,1005.25,345796,0.0,0.0
2025-07-16 10:30:00+05:30,1005.2999877929688,1005.4500122070312,1002.25,1002.2999877929688,198124,0.0,0.0
2025-07-16 10:45:00+05:30,1001.9500122070312,1002.4000244140625,1001.4500122070312,1002.25,162985,0.0,0.0
2025-07-16 11:00:00+05:30,1002.25,1003.4000244140625,1001.3499755859375,1002.0499877929688,226745,0.0,0.0
2025-07-16 11:15:00+05:30,1002.0,1002.25,1000.4500122070312,1000.9500122070312,233123,0.0,0.0
2025-07-16 11:30:00+05:30,1001.0999755859375,1001.2000122070312,999.1500244140625,999.7000122070312,278399,0.0,0.0
2025-07-16 11:45:00+05:30,999.7999877929688,1002.0499877929688,999.0,1000.7000122070312,292317,0.0,0.0
2025-07-16 12:00:00+05:30,1000.7000122070312,1001.7000122070312,1000.0,1000.0999755859375,240324,0.0,0.0
2025-07-16 12:15:00+05:30,1000.5,1001.2000122070312,1000.0,1000.8499755859375,122127,0.0,0.0
2025-07-16 12:30:00+05:30,1000.7000122070312,1002.4500122070312,1000.4500122070312,1002.1500244140625,207541,0.0,0.0
2025-07-16 12:45:00+05:30,1002.1500244140625,1003.0,1000.75,1001.5999755859375,241622,0.0,0.0
2025-07-16 13:00:00+05:30,1001.5499877929688,1002.0499877929688,1000.0,1000.5,139996,0.0,0.0
2025-07-16 13:15:00+05:30,1000.5,1000.8499755859375,998.9000244140625,999.0999755859375,202162,0.0,0.0
2025-07-16 13:30:00+05:30,999.2999877929688,999.7999877929688,998.0499877929688,999.3499755859375,127740,0.0,0.0
2025-07-16 13:45:00+05:30,999.25,999.8499755859375,997.75,997.7999877929688,164346,0.0,0.0
2025-07-16 14:00:00+05:30,997.7999877929688,999.4500122070312,997.2999877929688,998.7999877929688,180754,0.0,0.0
2025-07-16 14:15:00+05:30,998.5499877929688,999.3499755859375,996.8499755859375,997.25,170373,0.0,0.0
2025-07-16 14:30:00+05:30,997.2999877929688,998.4000244140625,997.0,998.0499877929688,165142,0.0,0.0
2025-07-16 14:45:00+05:30,998.2000122070312,998.9000244140625,996.8499755859375,997.4500122070312,162643,0.0,0.0
2025-07-16 15:00:00+05:30,997.6500244140625,998.9500122070312,997.6500244140625,998.4000244140625,571895,0.0,0.0
2025-07-16 15:15:00+05:30,998.4000244140625,998.75,996.5,998.0,765019,0.0,0.0
2025-07-17 09:15:00+05:30,1000.0,1001.0499877929688,996.7999877929688,999.1500244140625,958829,0.0,0.0
